epoch,loss,lr,sensitivity_at_specificity_1,specificity_at_sensitivity_2,val_loss,val_sensitivity_at_specificity_1,val_specificity_at_sensitivity_2
0,0.23434026539325714,0.001,0.4068862497806549,0.7655658721923828,0.26445910334587097,0.8918857574462891,0.9983181953430176
1,0.05392872542142868,0.001,0.9303333759307861,0.999811589717865,0.12409643083810806,0.9428733587265015,0.9999427795410156
2,0.035087522119283676,0.001,0.9521867632865906,0.9999371767044067,0.08713679760694504,0.948671281337738,0.9999828338623047
3,0.029604526236653328,0.001,0.9585331678390503,0.9999885559082031,0.06301882117986679,0.9566008448600769,0.9999828338623047
4,0.026935182511806488,0.001,0.9620940089225769,0.9999942779541016,0.04409260302782059,0.960267186164856,1.0
5,0.02558017522096634,0.001,0.9632713794708252,0.9999942779541016,0.03499782830476761,0.9642177224159241,1.0
6,0.02393060363829136,0.001,0.9661718010902405,1.0,0.026450227946043015,0.9670029878616333,1.0
7,0.022691359743475914,0.001,0.9691296219825745,0.9999885559082031,0.02854502946138382,0.9697598218917847,1.0
8,0.02187315747141838,0.001,0.9713407754898071,1.0,0.030196281149983406,0.9706124663352966,1.0
9,0.020824415609240532,0.001,0.9714269042015076,0.9999942779541016,0.030178692191839218,0.9728577733039856,1.0
